Date,Open,High,Low,Close,Adj Close,Volume
2000-12-06,15.355359,15.355359,14.134877,14.532243,8.863727,32110445
2000-12-07,14.532243,14.957993,14.134877,14.191644,8.655986,19228745
2000-12-08,14.645777,15.554042,14.645777,15.185059,9.261905,19244159
2000-12-11,15.185059,15.695958,14.702543,15.043143,9.175348,14168329
2000-12-12,15.043143,16.036558,14.957993,16.008175,9.763953,14737766
2000-12-13,16.008175,16.008175,14.929609,15.071526,9.192658,17668848
2000-12-14,15.071526,15.525658,14.844460,15.213442,9.279221,15234537
2000-12-15,14.702543,14.702543,13.992961,14.361944,8.759857,28713860
2000-12-18,14.361944,14.589010,14.021344,14.134877,8.643231,12796262
2000-12-19,14.191644,15.270209,14.191644,14.220027,8.695298,22611677
2000-12-20,14.134877,14.134877,13.368529,13.822661,8.452313,27213417
2000-12-21,13.822661,14.503860,13.226612,13.340145,8.157264,20758694
2000-12-22,13.680745,14.674160,13.680745,14.617393,8.938278,16763386
2000-12-26,14.617393,14.759310,13.964578,14.418710,8.816783,13988645
2000-12-27,14.418710,14.957993,14.333560,14.730926,9.007698,12023801
2000-12-28,14.730926,14.901226,14.560627,14.730926,9.007698,9693644
2000-12-29,14.730926,14.872843,14.163261,14.333560,8.764718,10829436
2001-01-02,14.333560,14.929609,13.510445,13.737511,8.400245,15019842
2001-01-03,13.737511,15.781108,13.652361,15.468892,9.458956,31391932
2001-01-04,15.554042,16.547457,15.554042,15.724342,9.615152,21579160
2001-01-05,15.724342,15.837875,13.907811,13.907811,8.504384,21077764
2001-01-08,13.907811,14.390327,13.879428,14.248411,8.712653,14371133
2001-01-09,14.248411,14.759310,14.134877,14.333560,8.764718,13921044
2001-01-10,14.333560,14.532243,13.851045,14.418710,8.816783,23808024
2001-01-11,14.418710,14.957993,14.220027,14.702543,8.990347,37069349
2001-01-12,14.418710,14.418710,13.595595,13.936194,8.521737,47123681
2001-01-16,13.936194,14.021344,13.595595,13.794278,8.434958,23767287
2001-01-17,14.106494,14.617393,14.106494,14.361944,8.782074,21899551
2001-01-18,14.645777,15.894641,14.645777,15.752725,9.632511,25856545
2001-01-19,15.809491,16.547457,15.809491,16.235241,9.927565,28663214
2001-01-22,16.178474,16.178474,15.326975,15.667575,9.580441,13150124
2001-01-23,15.667575,15.724342,14.901226,15.582425,9.528375,13559035
2001-01-24,15.724342,16.064941,15.724342,15.894641,9.719290,14271382
2001-01-25,15.894641,16.036558,15.497275,15.639192,9.563088,13563659
2001-01-26,15.639192,15.752725,15.014759,15.639192,9.563088,11741725
2001-01-29,15.567666,17.138966,15.263397,17.043596,10.421858,17416499
2001-01-30,17.043596,17.216167,16.575840,17.166212,10.496836,16588767
2001-01-31,17.166212,17.234331,16.516804,16.734787,10.233026,11318280
2001-02-01,16.734787,16.793823,16.239782,16.739328,10.235807,9290018
2001-02-02,16.739328,16.911898,16.235241,16.235241,9.927565,10117089
2001-02-05,16.212534,16.212534,15.617620,16.030882,9.802602,9971977
