Date,Prefecture,Prefecturename,Year,Month,Day,Dow,Holiday,Tempmax,Rhumave
2018/6/14,1,Hokkaido,2018,6,14,5,0,13.7,64
2018/6/15,1,Hokkaido,2018,6,15,6,0,18,59
2018/6/16,1,Hokkaido,2018,6,16,7,1,19.8,66
2018/6/17,1,Hokkaido,2018,6,17,1,1,16.6,66
2018/6/18,1,Hokkaido,2018,6,18,2,0,20.2,70
2018/6/19,1,Hokkaido,2018,6,19,3,0,24.4,65
2018/6/20,1,Hokkaido,2018,6,20,4,0,20.5,78
2018/6/21,1,Hokkaido,2018,6,21,5,0,22.1,70
2018/6/22,1,Hokkaido,2018,6,22,6,0,25,65
2018/6/23,1,Hokkaido,2018,6,23,7,1,26.2,50
2018/6/24,1,Hokkaido,2018,6,24,1,1,22.3,73
2018/6/25,1,Hokkaido,2018,6,25,2,0,16.5,69
2018/6/26,1,Hokkaido,2018,6,26,3,0,21.2,63
2018/6/27,1,Hokkaido,2018,6,27,4,0,19.7,88
2018/6/28,1,Hokkaido,2018,6,28,5,0,23.2,82
2018/6/29,1,Hokkaido,2018,6,29,6,0,23.5,81
2018/6/30,1,Hokkaido,2018,6,30,7,1,28.6,77
2018/7/1,1,Hokkaido,2018,7,1,1,1,25.1,89
2018/7/2,1,Hokkaido,2018,7,2,2,0,25,90
2018/7/3,1,Hokkaido,2018,7,3,3,0,24.2,91
2018/7/4,1,Hokkaido,2018,7,4,4,0,24.3,91
2018/7/5,1,Hokkaido,2018,7,5,5,0,16,86
2018/7/6,1,Hokkaido,2018,7,6,6,0,19.3,64
2018/7/7,1,Hokkaido,2018,7,7,7,1,16.5,69
2018/7/8,1,Hokkaido,2018,7,8,1,1,24.2,67
2018/7/9,1,Hokkaido,2018,7,9,2,0,23.6,72
2018/7/10,1,Hokkaido,2018,7,10,3,0,24.6,82
2018/7/11,1,Hokkaido,2018,7,11,4,0,22.1,83
2018/7/12,1,Hokkaido,2018,7,12,5,0,27.4,71
2018/7/13,1,Hokkaido,2018,7,13,6,0,23.9,80
2018/7/14,1,Hokkaido,2018,7,14,7,1,28.2,76
2018/7/15,1,Hokkaido,2018,7,15,1,1,22.9,84
2018/7/16,1,Hokkaido,2018,7,16,2,1,21.3,86
2018/7/17,1,Hokkaido,2018,7,17,3,0,24.1,76
2018/7/18,1,Hokkaido,2018,7,18,4,0,25,76
2018/7/19,1,Hokkaido,2018,7,19,5,0,26.7,80
2018/7/20,1,Hokkaido,2018,7,20,6,0,29.3,75
2018/7/21,1,Hokkaido,2018,7,21,7,1,30.8,77
2018/7/22,1,Hokkaido,2018,7,22,1,1,23.9,78
2018/7/23,1,Hokkaido,2018,7,23,2,0,25.4,72
2018/7/24,1,Hokkaido,2018,7,24,3,0,25.7,70
2018/7/25,1,Hokkaido,2018,7,25,4,0,29.7,71
2018/7/26,1,Hokkaido,2018,7,26,5,0,30.4,74
2018/7/27,1,Hokkaido,2018,7,27,6,0,31.9,72
2018/7/28,1,Hokkaido,2018,7,28,7,1,28.6,69
2018/7/29,1,Hokkaido,2018,7,29,1,1,31,73
2018/7/30,1,Hokkaido,2018,7,30,2,0,31.8,73
