"","species","decimalLatitude","decimalLongitude","eventDate","year"
"8998","Asellus aquaticus",52.645489,6.220246,2004-08-12,2004
"8999","Asellus aquaticus",52.908576,7.092094,2004-04-14,2004
"9000","Asellus aquaticus",52.600175,6.018941,2005-10-05,2005
"9001","Asellus aquaticus",53.099115,6.645804,2005-04-11,2005
"9002","Asellus aquaticus",52.569992,5.904342,2001-09-12,2001
"9003","Asellus aquaticus",53.075829,6.761082,2003-04-16,2003
"9004","Asellus aquaticus",52.500262,6.165371,2010-05-27,2010
"9005","Asellus aquaticus",52.473397,6.302662,2009-05-25,2009
"9006","Asellus aquaticus",51.898434,4.163847,2007-06-04,2007
"9007","Asellus aquaticus",52.288196,6.144214,2010-05-06,2010
"9008","Asellus aquaticus",51.876709,4.185787,2004-08-23,2004
"9009","Asellus aquaticus",51.875333,4.175236,2010-05-10,2010
"9010","Asellus aquaticus",53.03491,6.649461,2009-04-15,2009
"9011","Asellus aquaticus",53.028428,6.658962,2009-09-15,2009
"9012","Asellus aquaticus",52.925546,6.62357,2009-09-25,2009
"9013","Asellus aquaticus",52.956246,6.539079,2010-04-08,2010
"9014","Asellus aquaticus",53.104293,6.846804,2010-09-24,2010
"9015","Asellus aquaticus",52.942212,6.853573,2009-04-07,2009
"9016","Asellus aquaticus",53.075829,6.761082,2009-09-09,2009
"9017","Asellus aquaticus",51.790254,4.737568,2007-06-27,2007
"9018","Asellus aquaticus",51.823745,4.134222,2010-09-16,2010
"9019","Asellus aquaticus",51.767755,4.739167,2002-09-30,2002
"9020","Asellus aquaticus",51.906136,4.167997,2010-09-16,2010
"9021","Asellus aquaticus",51.806917,4.777348,2008-09-08,2008
"9022","Asellus aquaticus",51.91079,4.120168,2005-05-17,2005
"9023","Asellus aquaticus",51.915917,4.149111,2004-05-11,2004
"9024","Asellus aquaticus",51.790336,4.116276,2007-04-17,2007
"9025","Asellus aquaticus",51.841402,4.131046,2009-06-08,2009
"9026","Asellus aquaticus",51.766415,4.107924,2009-04-06,2009
"9027","Asellus aquaticus",51.691008,4.169995,2010-05-17,2010
"9028","Asellus aquaticus",51.841257,4.167562,2010-09-20,2010
"9029","Asellus aquaticus",51.847522,4.249019,2005-07-22,2005
"9030","Asellus aquaticus",51.661999,4.314307,2007-09-04,2007
"9031","Asellus aquaticus",51.684258,4.309513,2007-04-23,2007
"9032","Asellus aquaticus",51.73863,4.18099,2010-05-19,2010
"9033","Asellus aquaticus",51.846438,4.310366,2007-06-12,2007
"9034","Asellus aquaticus",51.825899,4.028084,2010-05-04,2010
"9035","Asellus aquaticus",51.80542,3.945887,2010-05-03,2010
"9036","Asellus aquaticus",51.781714,4.675564,2008-06-19,2008
"9037","Asellus aquaticus",51.759071,4.67695,2009-06-15,2009
"9038","Asellus aquaticus",51.75517,4.318003,2010-05-25,2010
"9039","Asellus aquaticus",51.772231,4.348998,2005-08-17,2005
"9040","Asellus aquaticus",51.824662,4.38922,2007-05-15,2007
"9041","Asellus aquaticus",51.77834,4.413576,2009-07-01,2009
"9042","Asellus aquaticus",51.740985,4.439155,2002-09-24,2002
